movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,directors/4/peopleNm,directors/5/peopleNm
20154910,터널,Tunnel,2016,20160810,장편,개봉,한국,드라마,한국,드라마,김성훈,20100386,(주)어나더썬데이,20138935,(주)비에이엔터테인먼트,,,,,,,
20158482,동주,DONGJU; The Portrait of A Poet,2015,20160217,장편,개봉,한국,드라마,한국,드라마,이준익,20101097,(주) 루스이소니도스,,,,,,,,,
20150901,올레,DETOUR,2016,20160825,장편,개봉,한국,"드라마,코미디",한국,드라마,채두병,20140742,(주)어바웃필름,,,,,,,,,
20164527,부릉! 부릉! 브루미즈: 스피더의 모험 일기,Vroom! Vroom! Vroomiz,2016,20161215,장편,개봉,한국,애니메이션,한국,애니메이션,이영준,20000384,(주)삼지애니메이션,,,,,,,,,
20162206,브루클린,Brooklyn,2016,20160421,장편,개봉,미국,"드라마,멜로/로맨스",미국,드라마,존 크로울리,,,,,,,,,,,
20165521,극장판 프리즘스톤 올스타 셀렉션,,2015,20160707,장편,개봉,"한국,일본","애니메이션,드라마,판타지",한국,애니메이션,김영범,20100185,동우에이앤이(주),,,,,,,,,
20155321,최악의 하루,Worst Woman,2016,20160825,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,김종관,20100036,㈜인디스토리,,,,,,,,,
20161961,나는 증인이다,The Witness,2015,20160914,장편,개봉,"한국,중국","미스터리,스릴러",한국,미스터리,안상훈,20062530,(주)문와쳐,,,,,,,,,
20154803,우리 연애의 이력,With or Without You,2015,20160629,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,조성은,20168629,더블엔비컴퍼니(주),,,,,,,,,
20145507,검사외전,A Violent Prosecutor,2015,20160203,장편,개봉,한국,"범죄,코미디",한국,범죄,이일형,20126515,(주)영화사 월광,20122737,(주)사나이픽처스,,,,,,,
20163521,스플릿,SPLIT,2016,20161109,장편,개봉,한국,드라마,한국,드라마,최국희,20100410,오퍼스픽쳐스,,,,,,,,,
20157466,"로봇, 소리",SORI: Voice from the Heart,2015,20160127,장편,개봉,한국,드라마,한국,드라마,이호재,20168548,(주)영화사 좋은날,20100807,(주)디씨지플러스,,,,,,,
20150968,국가대표 2,RUN OFF,2016,20160810,장편,개봉,한국,드라마,한국,드라마,김종현,20100158,케이엠컬쳐㈜,,,,,,,,,
20153401,파파좀비,Papa Zombie,2016,20161229,장편,개봉,한국,드라마,한국,드라마,고현창,20100036,㈜인디스토리,,,,,,,,,
20154906,사냥,The Hunt,2016,20160629,장편,개봉,한국,액션,한국,액션,이우철,20123063,(주)빅스톤픽쳐스,,,,,,,,,
20158242,무서운 이야기 3 : 화성에서 온 소녀,Horror Stories III,2016,20160601,옴니버스,개봉,한국,공포(호러),한국,공포(호러),백승빈,20100340,(주)수필름,,,,,김선,김곡,민규동,,
20150902,대배우,THE GREAT ACTOR,2015,20160330,장편,개봉,한국,코미디,한국,코미디,석민우,20168769,주식회사 영화사다,,,,,,,,,
20166127,그랜드파더,Grand Father,2016,20160831,장편,개봉,한국,"액션,드라마",한국,액션,이서,20139537,(주)한이야기,,,,,,,,,
20150972,굿바이 싱글,Familyhood,2016,20160629,장편,개봉,한국,"코미디,드라마",한국,코미디,김태곤,20155529,호두앤유 엔터테인먼트(주),20157468,(주)영화사람,,,,,,,
20157064,커튼콜,Curtain Call,2016,20161208,장편,개봉,한국,코미디,한국,코미디,류훈,20158008,(주)모멘텀엔터테인먼트,,,,,,,,,
20141589,철원기행,End of Winter,2014,20160421,장편,개봉,한국,드라마,한국,드라마,김대환,20125955,(주)타이거시네마,20158092,DGC,,,,,,,
20161364,귀향,Spirits' Homecoming,2015,20160224,장편,개봉,한국,드라마,한국,드라마,조정래,20123223,주식회사 제이오엔터테인먼트코리아,,,,,,,,,
20160142,내 친구의 엄마,,2016,20161012,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,탁승오,20172381,엠아이픽쳐스,,,,,,,,,
20159657,최강전사 미니특공대: 영웅의 탄생,Mini Force : New Heroes Rise,2016,20160204,장편,개봉,한국,애니메이션,한국,애니메이션,이영준,20000384,(주)삼지애니메이션,,,,,,,,,
20165281,마이 리틀 자이언트,The BFG,2015,20160810,장편,개봉,미국,"어드벤처,가족,판타지",미국,어드벤처,스티븐 스필버그,,,,,,,,,,,
20151944,스톱,Stop,2015,20161208,장편,개봉,한국,드라마,한국,드라마,김기덕,20100078,(주)김기덕 필름,,,,,,,,,
20166821,나쁜놈은 죽는다 무삭제 특별판,,2015,20160721,장편,개봉,"중국,한국","코미디,범죄,액션",중국,코미디,손호,20063099,(주)케이알씨지,20142369,(유)조이앤시네마,,,,,,,
