movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm
20170422,바나나쏭의 기적,Singing with Angry Bird,2018,20180308,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,송우용,20139841,바른미디어,지혜원,,,,,,
20184904,드래곤 프린세스,Enchanted Princess,2018,20180705,장편,개봉,러시아,애니메이션,러시아,애니메이션,알트욤 루키체프,,,,,,,,,
20185648,유니콘 원정대: 비밀의 다이어리,The Shonku Diaries - A Unicorn Adventure,2016,20180621,장편,개봉,인도,애니메이션,인도,애니메이션,카말 반살,,,,,,,,,
20183195,레오나르도 다 빈치,Leo Da Vinci: Mission Mona Lisa,2018,20180426,장편,개봉,이탈리아,애니메이션,이탈리아,애니메이션,세르지오 맨피오,,,,,,,,,
20184383,한나,Hannah,2017,20180726,장편,개봉,"이탈리아,프랑스,벨기에",드라마,이탈리아,드라마,안드레아 팔라오로,,,,,,,,,
20188562,처제2,Brother-in-law,2017,20180726,장편,개봉,일본,드라마,일본,드라마,긴다이치 코고로,,,,,,,,,
20187467,정사 : 처제의 사랑,,2018,20180726,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,최민,20161021,(주)영화사가을,,,,,,,
20187881,정사 : 은밀한 밀애-무삭제판,,2018,20180725,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이재상,20063099,(주)케이알씨지,,,,,,,
20187843,젊은 누나-감독판,,2018,20180726,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이민,20063099,(주)케이알씨지,,,,,,,
20188543,자매의 속사정,Farmers of sisters,2017,20180726,장편,개봉,일본,드라마,일본,드라마,키리시마 아키코,,,,,,,,,
20186121,어느 가족,SHOPLIFTERS,2018,20180726,장편,개봉,일본,드라마,일본,드라마,고레에다 히로카즈,,,,,,,,,
20188561,야한 유부녀,Housewife prostitution,2017,20180726,장편,개봉,일본,드라마,일본,드라마,츠지 코우지,,,,,,,,,
20188542,관계,A relationship,2017,20180726,장편,개봉,일본,드라마,일본,드라마,오자키 히로코우지,,,,,,,,,
20183928,용의자: 폭탄 테러를 막아라,Freaky Deaky,2012,20180712,장편,개봉,미국,"코미디,범죄,스릴러",미국,코미디,찰스 매튜,,,,,,,,,
20188464,하고 싶은 날:보여주는 유부녀,Tumanohimitu,2017,20180725,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,토미죠 타로,,,,,,,,,
20188445,"은밀한 여관:먹고,자고,하고",Mamano rabusutori,2017,20180725,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,히로아키,,,,,,,,,
20188465,시아버지와 며느리:참을 수 없는 날,MIDARAYOME-01,2017,20180725,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,키무라 히로유키,,,,,,,,,
20188463,낯선 남자:젖어버렸어요,Training Kayo 29 years old-Record to Slave,2017,20180725,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,에츠로,,,,,,,,,
20187924,폰 섹스의 덫-감독판,,2018,20180724,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이민,20063099,(주)케이알씨지,,,,,,,
20178972,친구엄마 : 섹스 하던 날 무삭제,,2017,20180724,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이상민,20161021,(주)영화사가을,,,,,,,
20181524,친구엄마 : 내 여자가 되던 날 무삭제,,2018,20180724,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이상민,20161021,(주)영화사가을,,,,,,,
