movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,directors/1/peopleNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm,directors/2/peopleNm,directors/3/peopleNm
20178763,위 고 온,WE GO ON,2016,20171227,장편,개봉,미국,"드라마,공포(호러),스릴러",미국,드라마,제시 홀랜드,,,,,,,,,,,
20178826,샌드 샤크,Sand Sharks,2012,20171227,장편,개봉,미국,"스릴러,공포(호러)",미국,스릴러,,,,,,,,,,,,
20178809,드래곤 플라이,Dragon Wasps,2012,20171227,장편,개봉,미국,"SF,액션",미국,SF,,,,,,,,,,,,
20178467,살인병동,THE VOID,2016,20171226,장편,개봉,캐나다,공포(호러),캐나다,공포(호러),,,,,,,,,,,,
20178448,불륜의 시대 감독판,,2017,20171226,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,박은수,20063099,(주)케이알씨지,,,,,,,,,
20170030,정사: 바람난 유부녀들-감독판,,2017,20171224,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,박범수,20063099,(주)케이알씨지,,,,,,,,,
20178686,팩트 살인,Criticsized,2016,20171223,장편,개봉,미국,"액션,범죄,스릴러",미국,액션,,,,,,,,,,,,
20175280,섹션제로-3구역,Section Zero,2016,20171221,장편,개봉,프랑스,"SF,액션,스릴러",프랑스,SF,올리비에르 마샬,,,,,,,,,,,
20172146,데드랜드,The Dead Lands,2014,20171221,장편,개봉,"뉴질랜드,영국",액션,뉴질랜드,액션,토아 프레이저,,,,,,,,,,,
20178542,친구엄마: 이혼한 그녀의 남자가 되던 날,,2017,20171220,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,,,
20178563,착한 새엄마,,2017,20171220,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,,,
20178564,작은 엄마 2: 삼촌의 여자들,,2017,20171220,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,,,
20178562,내 애인의 엄마: 내 여자가 되던 날 (무삭제),,2017,20171220,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이진,20112175,(주)소나무픽쳐스,,,,,,,,,
20177914,대물 변강쇠,,2017,20171219,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이동현,20063099,(주)케이알씨지,,,이동현,,,,,,
