movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm
20145171,대호,The Tiger,2015,20151216,장편,개봉,한국,사극,한국,사극,박훈정,20122737,(주)사나이픽처스,,,,,,,,,
20133682,화장,Revivre,2014,20150409,장편,개봉,한국,드라마,한국,드라마,임권택,20100545,(주)명필름,,,,,,,,,
20151782,지금은맞고그때는틀리다,"Right Now, Wrong Then",2015,20150924,장편,개봉,한국,드라마,한국,드라마,홍상수,20100332,(주)영화제작전원사 ,,,,,,,,,
20148449,산다,Alive,2014,20150521,장편,개봉,한국,드라마,한국,드라마,박정범,20114864,세컨드윈드 필름,,,,20155648,(유)산다문화산업전문회사 ,,,,
20149314,내부자들,Inside Men,2015,20151119,장편,개봉,한국,"범죄,드라마",한국,범죄,우민호,20157297,(유)내부자들 문화전문회사,,,,,,,,,
20148685,조류인간,The Avian Kind,2014,20150226,장편,개봉,한국,드라마,한국,드라마,신연식,20101097,(주) 루스이소니도스,,,,,,,,,
20148553,내 심장을 쏴라,Shoot Me in the Heart,2014,20150128,장편,개봉,한국,드라마,한국,드라마,문제용,20100128,(주)주피터필름,,,,,,,,,
20148461,살인의뢰,The Deal,2014,20150312,장편,개봉,한국,"범죄,스릴러",한국,범죄,손용호,20126335,(주)미인픽쳐스,,,,,,,,,
20158481,퇴마: 무녀굴,The Chosen: Forbidden Cave,2015,20150820,장편,개봉,한국,"공포(호러),스릴러",한국,공포(호러),김휘,20157148,(주)케이프로덕션,,,,20123175,플로우식스(주),20101396,버티고필름,,
20156321,약장수,Clown of a Salesman ,2015,20150423,장편,개봉,한국,드라마,한국,드라마,조치언,20154448,(주)26컴퍼니,,,,,,,,,
20143511,오피스,Office,2014,20150903,장편,개봉,한국,"스릴러,미스터리",한국,스릴러,홍원찬,20136898,(주)영화사꽃,,,,,,,,,
20144741,매드 맥스: 분노의 도로,Mad Max: Fury Road,2015,20150514,장편,개봉,"미국,호주","액션,어드벤처,스릴러",미국,액션,조지 밀러,,,,,,,,,,,
20148846,사도,The Throne,2014,20150916,장편,개봉,한국,사극,한국,사극,이준익,20100239,(주)타이거픽쳐스,,,,,,,,,
